production	38	38	38	44	46	43	42	41	40	38	41	44	45	47	49	48	44	42	41	40	35	38	36	33	31	30	30	32	34	36	37	39	40	42	45	43	40	38	36	35	34	33	32	30	30	33	34	36	38	43	40	37	36	35	34	34	32	32	30	28	38	40	44	47	46	43	42	41	40	38	41	44	45	47	49	50	48	46	45	42	39	38	36	33	31	30	30	32	34	36	37	39	40	42	45	43	40	38	36	35	34	33	32	30	30	33	34	36	38	43	40	38	38	37	36	35	34	32	30	28	38	40	44	47	46	43	42	41	40	38	41	44	45	47	49	50	48	46	45	42	39	38	36	33	31	30	30	32	34	36	37	39	40	42	45	43	40	38	36	35	34	33	32	30	30	33	34	36	38	43	40	38	38	37	36	35	34	32	30	28	38	40	44	47	46	43	42	41	40	38	41	44	45	47	49	50	48	46	45	42	39	38	36	33	31	30	30	32	34	36	37	39	40	42	45	43	40	38	36	35	34	33	32	30	30	33	34	36	38	43	40	38	38	37	36	35	34	32	30	28	38	40	44	47	46	43	42	41	40	38	41	44	45	47	49	50	48	46	45	42	39	38	36	33	31	30	30	32	34	36	37	39	40	42	45	43	40	38	36	35	34	33	32	30	30	33	34	36	38	43	40	38	38	37	36	35	34	32	30	28	38	40	44	47	46	43	42	41	40	38	41	44	45	47	49	50	48	46	45	42	39	38	36	33	31	30	30	32	34	36	37	39	40	42	45	43	40	38	36	35	34	33	32	30	30	33	34	36	38	43	40	38	38	37	36	35	34	32	30	28
name	LoadingRegion_1_Port_0																																																																																																																																																																																																																																																																																																																																																																							
index	2																																																																																																																																																																																																																																																																																																																																																																							
type	Loading																																																																																																																																																																																																																																																																																																																																																																							
regionIndex	1																																																																																																																																																																																																																																																																																																																																																																							
x_coordinate	11918																																																																																																																																																																																																																																																																																																																																																																							
y_coordinate	11809																																																																																																																																																																																																																																																																																																																																																																							
fixedPortFee	17																																																																																																																																																																																																																																																																																																																																																																							
numBerths	1																																																																																																																																																																																																																																																																																																																																																																							
maxAmountPerPeriod	180																																																																																																																																																																																																																																																																																																																																																																							
minAmountPerPeriod	90																																																																																																																																																																																																																																																																																																																																																																							
capacity	400																																																																																																																																																																																																																																																																																																																																																																							
initialInventory	400																																																																																																																																																																																																																																																																																																																																																																							
production	57	58	60	62	61	61	63	65	67	66	64	64	62	61	59	57	57	52	52	52	47	47	47	47	52	52	52	54	54	55	58	60	63	65	65	67	69	65	62	59	53	51	49	50	59	62	65	67	67	65	60	57	50	50	50	45	45	45	45	45	57	58	60	62	61	61	63	65	67	66	64	64	62	61	59	57	57	52	52	52	47	47	47	47	52	52	52	54	54	55	58	60	63	65	65	67	69	65	62	59	53	51	49	50	59	62	65	67	67	65	60	57	50	50	50	45	45	45	45	45	57	58	60	62	61	61	63	65	67	66	64	64	62	61	59	57	57	52	52	52	47	47	47	47	52	52	52	54	54	55	58	60	63	65	65	67	69	65	62	59	53	51	49	50	59	62	65	67	67	65	60	57	50	50	50	45	45	45	45	45	57	58	60	62	61	61	63	65	67	66	64	64	62	61	59	57	57	52	52	52	47	47	47	47	52	52	52	54	54	55	58	60	63	65	65	67	69	65	62	59	53	51	49	50	59	62	65	67	67	65	60	57	50	50	50	45	45	45	45	45	57	58	60	62	61	61	63	65	67	66	64	64	62	61	59	57	57	52	52	52	47	47	47	47	52	52	52	54	54	55	58	60	63	65	65	67	69	65	62	59	53	51	49	50	59	62	65	67	67	65	60	57	50	50	50	45	45	45	45	45	57	58	60	62	61	61	63	65	67	66	64	64	62	61	59	57	57	52	52	52	47	47	47	47	52	52	52	54	54	55	58	60	63	65	65	67	69	65	62	59	53	51	49	50	59	62	65	67	67	65	60	57	50	50	50	45	45	45	45	45
name	LoadingRegion_1_Port_1																																																																																																																																																																																																																																																																																																																																																																							
index	3																																																																																																																																																																																																																																																																																																																																																																							
type	Loading																																																																																																																																																																																																																																																																																																																																																																							
regionIndex	1																																																																																																																																																																																																																																																																																																																																																																							
x_coordinate	11945																																																																																																																																																																																																																																																																																																																																																																							
y_coordinate	11973																																																																																																																																																																																																																																																																																																																																																																							
fixedPortFee	68																																																																																																																																																																																																																																																																																																																																																																							
numBerths	1																																																																																																																																																																																																																																																																																																																																																																							
maxAmountPerPeriod	180																																																																																																																																																																																																																																																																																																																																																																							
minAmountPerPeriod	70																																																																																																																																																																																																																																																																																																																																																																							
capacity	304																																																																																																																																																																																																																																																																																																																																																																							
initialInventory	156																																																																																																																																																																																																																																																																																																																																																																							
production	38	38	38	38	38	34	35	37	39	40	42	44	44	44	44	42	41	39	38	38	35	35	33	32	32	33	35	38	38	38	40	40	42	42	42	43	43	43	44	44	41	39	38	36	36	34	34	39	41	41	43	41	36	34	32	32	32	32	32	32	38	37	36	34	32	34	35	37	39	40	42	44	44	44	44	42	41	39	38	38	38	35	33	33	33	33	35	38	38	38	40	40	42	42	42	43	43	43	44	44	41	39	38	36	36	34	34	39	41	41	43	41	36	34	32	32	32	32	32	32	38	37	36	34	32	34	35	37	39	40	42	44	44	44	44	42	41	39	38	38	38	35	33	33	33	33	35	38	38	38	40	40	42	42	42	43	43	43	44	44	41	39	38	36	36	34	34	39	41	41	43	41	36	34	32	32	32	32	32	32	38	37	36	34	32	34	35	37	39	40	42	44	44	44	44	42	41	39	38	38	38	35	33	33	33	33	35	38	38	38	40	40	42	42	42	43	43	43	44	44	41	39	38	36	36	34	34	39	41	41	43	41	36	34	32	32	32	32	32	32	38	37	36	34	32	34	35	37	39	40	42	44	44	44	44	42	41	39	38	38	38	35	33	33	33	33	35	38	38	38	40	40	42	42	42	43	43	43	44	44	41	39	38	36	36	34	34	39	41	41	43	41	36	34	32	32	32	32	32	32	38	37	36	34	32	34	35	37	39	40	42	44	44	44	44	42	41	39	38	38	38	35	33	33	33	33	35	38	38	38	40	40	42	42	42	43	43	43	44	44	41	39	38	36	36	34	34	39	41	41	43	41	36	34	32	32	32	32	32	32
